"Reference.Area","year","variable","value"
"Argyll and Bute","2006","household-size",2.17
"City of Edinburgh","2006","household-size",2.05
"Clackmannanshire","2006","household-size",2.22
"Dumfries and Galloway","2006","household-size",2.22
"Dundee City","2006","household-size",2.08
"East Ayrshire","2006","household-size",2.29
"East Dunbartonshire","2006","household-size",2.44
"East Lothian","2006","household-size",2.29
"East Renfrewshire","2006","household-size",2.47
"Eilean Siar","2006","household-size",2.27
"Falkirk","2006","household-size",2.24
"Fife","2006","household-size",2.24
"Glasgow City","2006","household-size",1.98
"Highland","2006","household-size",2.26
"Inverclyde","2006","household-size",2.18
"Midlothian","2006","household-size",2.37
"Moray","2006","household-size",2.31
"North Ayrshire","2006","household-size",2.22
"North Lanarkshire","2006","household-size",2.31
"Orkney Islands","2006","household-size",2.22
"Perth and Kinross","2006","household-size",2.16
"Renfrewshire","2006","household-size",2.16
"Scottish Borders","2006","household-size",2.18
"Shetland Islands","2006","household-size",2.32
"South Ayrshire","2006","household-size",2.2
"South Lanarkshire","2006","household-size",2.29
"Stirling","2006","household-size",2.3
"West Dunbartonshire","2006","household-size",2.19
"West Lothian","2006","household-size",2.36
"Aberdeen City","2007","household-size",2.01
"Aberdeenshire","2007","household-size",2.41
"Angus","2007","household-size",2.23
"Argyll and Bute","2007","household-size",2.17
"City of Edinburgh","2007","household-size",2.04
"Clackmannanshire","2007","household-size",2.23
"Dumfries and Galloway","2007","household-size",2.22
"Dundee City","2007","household-size",2.05
"East Ayrshire","2007","household-size",2.28
"East Dunbartonshire","2007","household-size",2.43
"East Lothian","2007","household-size",2.29
"East Renfrewshire","2007","household-size",2.46
"Eilean Siar","2007","household-size",2.25
"Falkirk","2007","household-size",2.24
"Fife","2007","household-size",2.23
"Glasgow City","2007","household-size",1.98
"Highland","2007","household-size",2.25
"Inverclyde","2007","household-size",2.18
"Midlothian","2007","household-size",2.37
"Moray","2007","household-size",2.3
"North Ayrshire","2007","household-size",2.22
"North Lanarkshire","2007","household-size",2.3
"Orkney Islands","2007","household-size",2.21
"Perth and Kinross","2007","household-size",2.17
"Renfrewshire","2007","household-size",2.15
"Scottish Borders","2007","household-size",2.18
"Shetland Islands","2007","household-size",2.32
"South Ayrshire","2007","household-size",2.19
"South Lanarkshire","2007","household-size",2.27
"Stirling","2007","household-size",2.3
"West Dunbartonshire","2007","household-size",2.18
"West Lothian","2007","household-size",2.35
"Aberdeen City","2008","household-size",2.01
"Aberdeenshire","2008","household-size",2.4
"Angus","2008","household-size",2.23
"Argyll and Bute","2008","household-size",2.15
"City of Edinburgh","2008","household-size",2.03
"Clackmannanshire","2008","household-size",2.23
"Dumfries and Galloway","2008","household-size",2.21
"Dundee City","2008","household-size",2.04
"East Ayrshire","2008","household-size",2.26
"East Dunbartonshire","2008","household-size",2.42
"East Lothian","2008","household-size",2.29
"East Renfrewshire","2008","household-size",2.45
"Eilean Siar","2008","household-size",2.23
"Falkirk","2008","household-size",2.24
"Fife","2008","household-size",2.22
"Glasgow City","2008","household-size",1.98
"Highland","2008","household-size",2.24
"Inverclyde","2008","household-size",2.17
"Midlothian","2008","household-size",2.38
"Moray","2008","household-size",2.31
"North Ayrshire","2008","household-size",2.21
"North Lanarkshire","2008","household-size",2.3
"Orkney Islands","2008","household-size",2.2
"Perth and Kinross","2008","household-size",2.16
"Renfrewshire","2008","household-size",2.13
"Scottish Borders","2008","household-size",2.18
"Shetland Islands","2008","household-size",2.31
"South Ayrshire","2008","household-size",2.18
"South Lanarkshire","2008","household-size",2.26
"Stirling","2008","household-size",2.28
"West Dunbartonshire","2008","household-size",2.16
"West Lothian","2008","household-size",2.35
"Aberdeen City","2009","household-size",2.03
"Aberdeenshire","2009","household-size",2.4
"Angus","2009","household-size",2.21
"Argyll and Bute","2009","household-size",2.15
"City of Edinburgh","2009","household-size",2.04
"Clackmannanshire","2009","household-size",2.21
"Dumfries and Galloway","2009","household-size",2.2
"Dundee City","2009","household-size",2.03
"East Ayrshire","2009","household-size",2.25
"East Dunbartonshire","2009","household-size",2.41
"East Lothian","2009","household-size",2.29
"East Renfrewshire","2009","household-size",2.44
"Eilean Siar","2009","household-size",2.22
